Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Epic,N5-1,10474,LOGIN,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 7:57 AM,06/Feb/23 10:53 AM,
Epic,N5-2,10475,Đăng Ký,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 7:57 AM,06/Feb/23 10:27 AM,
Epic,N5-3,10476,Thêm sản phẩm,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 7:57 AM,06/Feb/23 11:06 AM,
Epic,N5-4,10477,Sửa,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 7:58 AM,06/Feb/23 11:20 AM,
Epic,N5-5,10478,Xóa,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 7:58 AM,06/Feb/23 11:22 AM,
Epic,N5-6,10479,Tìm kiếm sản phẩm,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 7:58 AM,06/Feb/23 11:16 AM,
Epic,N5-7,10480,Mua Hàng,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 7:58 AM,06/Feb/23 11:21 AM,
Story,N5-8,10481,U-L 1 Login -Telephone Number  – Character are not allowed,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 8:33 AM,06/Feb/23 10:06 AM,
Story,N5-21,10482,IT - L 1 Login - Telephone Number - Character are not allowed,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Medium,To Do,,06/Feb/23 8:41 AM,06/Feb/23 10:24 AM,
Story,N5-9,10483,SY-L 1 Login -Telephone Number  – Character are not allowed,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 8:45 AM,06/Feb/23 10:09 AM,
Story,N5-10,10484,U-L 2 Login- Telephone Number – Mobile no must not be blank,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 8:45 AM,06/Feb/23 10:07 AM,
Story,N5-11,10485,U-L 3 Login-  Telephone Number - First character cannot have space,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 8:52 AM,06/Feb/23 10:07 AM,
Story,N5-22,10486,IT - L 2 Login - Telephone Number - Mobile no must not be blank,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Medium,To Do,,06/Feb/23 8:54 AM,06/Feb/23 10:25 AM,
Story,N5-12,10487,SY-L 2 Login- Telephone Number – Mobile no must not be blank,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 9:02 AM,06/Feb/23 10:10 AM,
Story,N5-13,10488,U-S 3 Sign up -Pin – PIN Code must have 6 Digits,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 9:03 AM,06/Feb/23 10:09 AM,
Story,N5-14,10489,U-S 11 Sign up-Pin – PIN Code must have 6 Digits,,,Phuc Mai,629810e7cd636500697caeb0,Highest,To Do,,06/Feb/23 9:06 AM,06/Feb/23 10:08 AM,
