Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Step),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
SY-D 24-Delete- Delete product,N5-81,10554,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 11:22 AM,06/Feb/23 11:22 AM,06/Feb/23 11:23 AM,,,0,Xóa,,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Displayed on the interface,,,,,,,,,N5-5,Xóa,,,Displayed on the interface,,,,,0|i003an:,,BN Sprint 2,,,,,,,,System,B1 add product B2 Delete product ,Pass,,,To Do
IT - D 24 - Delete - Delete product,N5-80,10553,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 11:22 AM,06/Feb/23 11:22 AM,06/Feb/23 11:23 AM,,,0,deleteproduct,Delete - Delete product,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Displayed on the interface,,,,,,,,,N5-5,Xóa,,,,,,,,0|i003af:,,BN Sprint 3,,,,,,,,Integration,"1. add product 
2. Delete product",Pass,,,To Do
U-BP 25 -Buy product- Buy product,N5-79,10552,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Phuc Mai,629810e7cd636500697caeb0,Phuc Mai,629810e7cd636500697caeb0,06/Feb/23 11:21 AM,06/Feb/23 11:21 AM,06/Feb/23 11:23 AM,,,0,buyproduct,,,Phuc Mai,629810e7cd636500697caeb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-7,06/Feb/23 11:19 AM;ug:2044195a-f36f-493c-87d2-070fe831c35d;z4087595101136_dc4c2739e5a97f814a288e9ef645b12c.jpg;https://lequangthuan.atlassian.net/secure/attachment/10200/z4087595101136_dc4c2739e5a97f814a288e9ef645b12c.jpg,,Your order has been successfully placed,,,,,,,,,N5-7,Mua Hàng,,,Your order has been successfully placed,,,,,0|i003a7:,,BN Sprint 1,,,,,,,,Unit,"B1 enter info oder,B2 enter",Pass,,,To Do
 IT - E 23 - Edit - Edit product size,N5-78,10551,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 11:20 AM,06/Feb/23 11:20 AM,06/Feb/23 11:23 AM,,,0,sửa,Edit - Edit product size,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-4,,,Errors checking successful,,,,,,,,,N5-4,Sửa,,,Show on interface,,,,,0|i0039z:,,,,,,,,,,Integration,,Skip,,,To Do
SY-E 23-Edit- Edit product size,N5-77,10550,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 11:19 AM,06/Feb/23 11:19 AM,06/Feb/23 11:23 AM,,,0,sửa,,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-71,,,not on the system,,,,,,,,,N5-4,Sửa,,,Show on interface,,,,,0|i0039r:,,BN Sprint 2,,,,,,,,System,,Skip,,,To Do
IT - E 22 - Edit - Edit product quantity,N5-76,10549,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 11:18 AM,06/Feb/23 11:18 AM,06/Feb/23 11:23 AM,,,0,sửa,Edit - Edit product quantity,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-4,,,Errors checking successful,,,,,,,,,N5-4,Sửa,,,Interface appears,,,,,0|i0039j:,,BN Sprint 3,,,,,,,,Integration,"1. Enter number
2. Check",Pass,,,To Do
SY-E 22-Edit- Edit product quantity,N5-75,10548,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 11:17 AM,06/Feb/23 11:17 AM,06/Feb/23 11:23 AM,,,0,sửa,Edit product quantity,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-46,,,successful test,,,,,,,,,N5-4,Sửa,,,"Interface appears
",,,,,0|i0039b:,,BN Sprint 2,,,,,,,,System,"B1 Enter number,B2 check ",Pass,,,To Do
IT - SP 21 - Search products - Leave the search box blank,N5-74,10547,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 11:16 AM,06/Feb/23 11:16 AM,06/Feb/23 11:23 AM,,,0,addtocart,Search products - Leave the search box blank,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-6,,,Errors checking successful,,,,,,,,,N5-6,Tìm kiếm sản phẩm,,,Please enter keywords to search,,,,,0|i00393:,,BN Sprint 3,,,,,,,,Integration,"1. Search product name and blank  and leave the search box blank
2. Check",Pass,,,To Do
U-D 24-Delete- Delete product,N5-73,10546,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Phuc Mai,629810e7cd636500697caeb0,Phuc Mai,629810e7cd636500697caeb0,06/Feb/23 11:15 AM,06/Feb/23 11:22 AM,06/Feb/23 11:23 AM,,,0,deleteproduct,,,Phuc Mai,629810e7cd636500697caeb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-5,06/Feb/23 11:13 AM;ug:2044195a-f36f-493c-87d2-070fe831c35d;z4087577743504_b32af983c9b4ae19671c06b0ba0085b9.jpg;https://lequangthuan.atlassian.net/secure/attachment/10199/z4087577743504_b32af983c9b4ae19671c06b0ba0085b9.jpg,06/Feb/23 11:14 AM;ug:2044195a-f36f-493c-87d2-070fe831c35d;z4087579078942_f0e9873d305612a3c5c63cc4fb96d840.jpg;https://lequangthuan.atlassian.net/secure/attachment/10198/z4087579078942_f0e9873d305612a3c5c63cc4fb96d840.jpg,Displayed on the interface,,,,,,,,,N5-5,Xóa,,,Displayed on the interface,,,,,0|i0038v:,,,,,,,,,,Unit,B1 add product B2 Delete product ,Pass,,,To Do
IT - SP 20 - Search products - Imported but the product is not available,N5-72,10545,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 11:11 AM,06/Feb/23 11:12 AM,06/Feb/23 11:23 AM,,,0,searchproduct,Search products - Imported but the product is not available,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-6,06/Feb/23 11:12 AM;ug:08efb4fd-f698-45da-a2c2-ac2962e4e722;dcbda8c1-3ccd-4b2c-856c-0fbb9e2e83c8.jpg;https://lequangthuan.atlassian.net/secure/attachment/10197/dcbda8c1-3ccd-4b2c-856c-0fbb9e2e83c8.jpg,,Errors checking successful,,,,,,,,,N5-6,Tìm kiếm sản phẩm,,,There are no products to search for,,,,,0|i0038n:,,BN Sprint 3,,,,,,,,Integration,"1. Write the name of the product you want to find
2. Check",Pass,,,To Do
U-E 23-Edit- Edit product size,N5-71,10544,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Phuc Mai,629810e7cd636500697caeb0,Phuc Mai,629810e7cd636500697caeb0,06/Feb/23 11:10 AM,06/Feb/23 11:19 AM,06/Feb/23 11:23 AM,,,0,sửa,,,Phuc Mai,629810e7cd636500697caeb0,,,,,,,,,N5-77,,,,,,,,,,,,,,,,,,,,,,N5-4,,,Show on interface,,,,,,,,,N5-4,Sửa,,,Show on interface,,,,,0|i0038f:,,,,,,,,,,Unit,,Skip,,,To Do
